,Vision Backbone,Scene Description,Method,Number of Updates,Accuracy
432,ViT-L/14,Detailed,audio,29,0.8048780487804879
433,ViT-L/14,Detailed,visual,29,0.706060606060606
434,ViT-L/14,Detailed,joint,29,0.6190476190476191
435,ViT-L/14,Basic,audio,1,0.7073170731707317
436,ViT-L/14,Basic,visual,1,0.703030303030303
437,ViT-L/14,Basic,joint,1,0.7885196374622356
438,ViT-L/14,Basic,audio,2,0.7103658536585366
439,ViT-L/14,Basic,visual,2,0.7151515151515152
440,ViT-L/14,Basic,joint,2,0.8323170731707317
441,ViT-L/14,Basic,audio,3,0.7042682926829268
442,ViT-L/14,Basic,visual,3,0.7393939393939394
443,ViT-L/14,Basic,joint,3,0.8658536585365854
444,ViT-L/14,Basic,audio,4,0.7225609756097561
445,ViT-L/14,Basic,visual,4,0.6909090909090909
446,ViT-L/14,Basic,joint,4,0.850609756097561
447,ViT-L/14,Basic,audio,5,0.7225609756097561
448,ViT-L/14,Basic,visual,5,0.7424242424242424
449,ViT-L/14,Basic,joint,5,0.8536585365853658
450,ViT-L/14,Basic,audio,6,0.7195121951219512
451,ViT-L/14,Basic,visual,6,0.7272727272727273
452,ViT-L/14,Basic,joint,6,0.8567073170731707
453,ViT-L/14,Basic,audio,7,0.7469512195121951
454,ViT-L/14,Basic,visual,7,0.7303030303030303
455,ViT-L/14,Basic,joint,7,0.8597560975609756
456,ViT-L/14,Basic,audio,8,0.75
457,ViT-L/14,Basic,visual,8,0.7393939393939394
458,ViT-L/14,Basic,joint,8,0.8658536585365854
459,ViT-L/14,Basic,audio,9,0.7591463414634146
460,ViT-L/14,Basic,visual,9,0.7151515151515152
461,ViT-L/14,Basic,joint,9,0.8719512195121951
462,ViT-L/14,Basic,audio,10,0.8048780487804879
463,ViT-L/14,Basic,visual,10,0.7151515151515152
464,ViT-L/14,Basic,joint,10,0.8807339449541285
465,ViT-L/14,Basic,audio,11,0.8048780487804879
466,ViT-L/14,Basic,visual,11,0.7484848484848485
467,ViT-L/14,Basic,joint,11,0.8685015290519877
468,ViT-L/14,Basic,audio,12,0.801829268292683
469,ViT-L/14,Basic,visual,12,0.7333333333333333
470,ViT-L/14,Basic,joint,12,0.8650306748466258
471,ViT-L/14,Basic,audio,13,0.8079268292682927
472,ViT-L/14,Basic,visual,13,0.7121212121212122
473,ViT-L/14,Basic,joint,13,0.8650306748466258
474,ViT-L/14,Basic,audio,14,0.8140243902439024
475,ViT-L/14,Basic,visual,14,0.7666666666666667
476,ViT-L/14,Basic,joint,14,0.8553846153846154
477,ViT-L/14,Basic,audio,15,0.8109756097560976
478,ViT-L/14,Basic,visual,15,0.7121212121212122
479,ViT-L/14,Basic,joint,15,0.8668730650154799
480,ViT-L/14,Basic,audio,16,0.8109756097560976
481,ViT-L/14,Basic,visual,16,0.706060606060606
482,ViT-L/14,Basic,joint,16,0.8668730650154799
483,ViT-L/14,Basic,audio,17,0.8109756097560976
484,ViT-L/14,Basic,visual,17,0.7696969696969697
485,ViT-L/14,Basic,joint,17,0.8854489164086687
486,ViT-L/14,Basic,audio,18,0.8109756097560976
487,ViT-L/14,Basic,visual,18,0.7121212121212122
488,ViT-L/14,Basic,joint,18,0.8695652173913043
489,ViT-L/14,Basic,audio,19,0.8079268292682927
490,ViT-L/14,Basic,visual,19,0.7242424242424242
491,ViT-L/14,Basic,joint,19,0.8571428571428571
492,ViT-L/14,Basic,audio,20,0.8048780487804879
493,ViT-L/14,Basic,visual,20,0.7484848484848485
494,ViT-L/14,Basic,joint,20,0.8722741433021807
495,ViT-L/14,Basic,audio,21,0.8048780487804879
496,ViT-L/14,Basic,visual,21,0.7151515151515152
497,ViT-L/14,Basic,joint,21,0.8847352024922118
498,ViT-L/14,Basic,audio,22,0.7804878048780488
499,ViT-L/14,Basic,visual,22,0.7303030303030303
500,ViT-L/14,Basic,joint,22,0.8793650793650793
501,ViT-L/14,Basic,audio,23,0.7835365853658537
