,config,scene,role,cmd_mode,cmd,role rec method,cmd rec method,stamp,object id,object class,estimated role,estimated command
106,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996455.2079818,0,person,supervisor,none
107,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996456.2413058,0,person,supervisor,none
108,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996457.2079732,0,person,supervisor,none
109,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996458.241301,0,person,supervisor,none
110,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996459.274805,0,person,supervisor,none
111,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996460.2747984,0,person,supervisor,none
112,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996461.2414792,5,person,supervisor,none
113,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996462.241459,0,person,supervisor,none
114,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996463.208148,0,person,supervisor,none
115,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996464.2081432,0,person,supervisor,none
116,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996465.2748039,7,person,pedestrian,none
117,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996466.2749429,7,person,pedestrian,none
118,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996467.3416245,0,person,supervisor,none
119,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996468.2749507,7,person,pedestrian,none
120,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996469.2416103,0,person,supervisor,none
121,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,advance,artag,verbal,1720996469.3749464,0,person,supervisor,none
122,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,advance,artag,verbal,1720996469.3749464,0,person,supervisor,none
123,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,advance,artag,verbal,1720996469.3749464,0,person,supervisor,none
124,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,advance,artag,verbal,1720996492.4420533,0,person,supervisor,none
125,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,advance,artag,verbal,1720996493.508712,0,person,supervisor,none
126,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,advance,artag,verbal,1720996494.5753725,0,person,supervisor,none
127,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,advance,artag,verbal,1720996495.508701,0,person,supervisor,none
128,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,advance,artag,verbal,1720996496.5755005,0,person,supervisor,none
129,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,advance,artag,verbal,1720996497.5421824,0,person,supervisor,none
130,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,advance,artag,verbal,1720996498.5088396,0,person,supervisor,none
131,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,advance,artag,verbal,1720996499.60885,0,person,supervisor,advance
132,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,advance,artag,verbal,1720996500.5755038,0,person,supervisor,none
133,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,advance,artag,verbal,1720996501.5423493,0,person,supervisor,none
134,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,advance,artag,verbal,1720996502.5421765,0,person,supervisor,none
135,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,advance,artag,verbal,1720996503.5421712,0,person,supervisor,none
136,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,advance,artag,verbal,1720996504.5756254,0,person,supervisor,none
137,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,advance,artag,verbal,1720996505.5756428,0,person,supervisor,advance
138,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,advance,artag,verbal,1720996506.57564,0,person,supervisor,none
139,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,advance,artag,verbal,1720996507.575627,0,person,supervisor,none
140,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,advance,artag,verbal,1720996508.5422983,0,person,supervisor,none
141,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,advance,artag,verbal,1720996509.542353,0,person,supervisor,none
